experiment_name,precision,recall,f1_score,accuracy,timestamp,epochs,batch_size
Xception_BSL_baseline,0.5191011235955056,0.154,0.2375321336760925,0.5056666666666667,2025-11-21 14:09:13,1,32
Xception_BSL_baseline,0.5636363636363636,0.0206666666666666,0.0398713826366559,0.5023333333333333,2025-11-21 14:18:35,2,32
Xception_BSL_baseline,0.7179856115107913,0.6653333333333333,0.6906574394463668,0.702,2025-11-21 14:30:45,2,32
Xception_BSL_baseline,0.8382352941176471,0.684,0.7533039647577092,0.776,2025-11-21 15:14:23,15,32
Xception_BSL_baseline,0.8347653668208856,0.842,0.8383670760039827,0.8376666666666667,2025-11-21 16:02:56,20,32
